Program,Code,Course Name,Credits,Prerequisites,Level
computer,EE-364,Advanced Programming,3,EE-202,8
computer,EE-366,Microprocessors and Microcontrollers,3,"EE-202, EE-360",8
computer,EE-367,Data Structures and Algorithms,3,"EE-202, EE-360",8
computer,ISLS-301,Islamic Culture 3,2,ISLS-201,8
computer,EE-390,Summer Training,2,,11
computer,EE-331,Principles of Automatic Control,4,"EE-300, EE-301",9
computer,EE-460,Digital Design II,4,EE-360,9
computer,EE-499,Senior Project,4,"EE-321, EE-366",9
computer,EE-XXX,Elective 1,3,,9
computer,FREE-XXX,Free Elective,1,,9
computer,EE-462,Computer Communication Networks,3,EE-364,10
computer,EE-463,Operating Systems,4,"EE-361, EE-367",10
computer,EE-XXX,Elective 2,3,,10
computer,EE-XXX,Elective 3,3,,10
computer,ISLS-401,Islamic Culture 4,2,ISLS-301,10
power,MATH-110,General Mathimatics 1,3,,1
power,CPIT-110,Programming and Problem Solving,3,,1
power,ELIS-111,English Language 1,0,,1
power,PHYS-110,General Physics 1,3,,1
power,STAT-110,General Statistics 1,3,,1
power,ELIS-112,English Language 2,2,,2
power,BIO-110,General Biology 1,3,,2
power,CHEM-110,General Chemistry 1,3,,2
power,ELIS-113,English Language 3,2,,2
power,EE-201,Structured Computer Programming,2,,2
power,MATH-206,Calculus II for Engineers,4,MATH-110,3
power,IE-200,Technical Communication Skills,2,,3
power,ISLS-101,Islamic Culture 1,2,,3
power,MENG102-,Engineering Graphics,3,,3
power,MATH-207,Calculus III for Engineers,4,MATH-206,3
power,PHYS-281,General Physics Lab,1,PHYS-110,3
power,IE-201,Engineering Design I,3,,4
power,IE-255,Engineering Economy,3,,4
power,ARAB-101,Arabic Language 1,3,,4
power,PHYS-202,General Physics II,4,"MATH-110, PHYS-110",4
power,CHEM-281,General Chemistry Lab,1,CHEM-110,4
power,EE-250,Basic Electrical Circuits,4,PHYS-202,4
power,MATH-204,Differential Equations I,3,MATH-207,5
power,ARAB-201,Arabic Language 2,3,ARAB-101,5
power,ISLS-201,Islamic Culture 2,2,ISLS-101,5
power,EE-202,Object-Oriented Computer Programming,3,EE-201,5
power,EE-301,Electrical Circuits and Systems,3,"EE-250, MATH-204",5
power,MEP-261,Thermodynamics 1,3,"MATH-207, PHYS-281",6
power,XXX-XXX,Free Elective,X,,6
power,IE-256,Engineering Management,2,IE-255,6
power,EE-300,Complex Analysis,3,MATH-207,6
power,EE-311,Electronics 1,4,EE-250,6
power,IE-202,Introduction to Engineering Design 2,3,"IE-200, IE-201",7
power,EE-360,Digital Design I,4,EE-250,7
power,EE-332,Numerical Methods in Engineering,3,"EE-201, MATH-204",7
power,EE-321,Introduction to Communications,4,EE-301,7
power,EE-302,Electromagnetic Fields,3,"EE-250, MATH-207",7
power,EE-303,Electrical Measurements and Instrumentation,3,"STAT-110, EE-311",8
power,EE-366,Microprocessor and Microcontrollers,3,"EE-202, EE-360",8
power,ISLS-301,Islamic Culture 3,2,ISLS-201,8
power,EE-331,Principles of Automatic Control,4,"EE-300, EE-301",8
power,EE-341,Electromechanical Energy Conversion 1,3,EE-250,8
power,EE-351,Electrical Power Systems 1,3,EE-250,8
power,EE-441,Electromechanical Energy Conversion 1,3,"EE-341, EE-351",11
power,EE-442,Power Electronics 1,3,EE-311,9
power,EE-405,Machines Lab,1,EE-441 (co-req),9
power,EE-499,Senior Project,4,Approval of Department,9
power,EE-404,Power Systems Lab,1,"EE-442, EE-451(co-req)",9
power,EE-451,Electrical Power Systems 3,3,EE-351,9
power,EE-453,Power Transmission and Distribution,3,"STAT-110, EE-351",10
power,XXX-XXX,Elective 1,3,,10
power,EE-454,Switchgear and Protection of Power Systems,3,"EE-341, EE-351",10
power,ISLS-401,Islamic Culture 4,2,ISLS-301,10
power,XXX-XXX,Elective 2,3,,10
power,IE-301,Workforce Skills,3,,10
biomedical,CPIT-110,Programming and Problem Solving,3,,1
biomedical,ELIS-101,English Language 1,0,,1
biomedical,PHYS-110,General Physics 1,3,,1
biomedical,MATH-110,Mathematics 1,3,,1
biomedical,ELIS-102,English Language 2,2,,1
biomedical,COMM-101,General Physics 1,3,,2
biomedical,ELIS-103,English Language 3,2,,2
biomedical,ELIS-104,English Language 4,2,,2
biomedical,CHEM-110,General Chemistry 1,3,,2
biomedical,STAT-110,General Statistics 1,3,,2
biomedical,BIO-110,English Language 2,3,,2
biomedical,ARAB-101,Arabic Language 1,3,,3
biomedical,MENG-102,Engineering Graphics,3,,3
biomedical,IE-200,Technical Communication Skills,2,,3
biomedical,EE-201,Structured Computer Programming,2,MATH-110,3
biomedical,MATH-206,Calculus II for Engineers,4,,3
biomedical,PHYS-281,General Physics Lab,1,,3
biomedical,ISLS-101,Islamic Culture 1,2,,4
biomedical,IE-201,Engineering Design 1,3,,4
biomedical,PHYS-202,General Physics 2,4,,4
biomedical,MATH-207,Calculus III for Engineers,4,MATH-206,4
biomedical,CHEM-281,General Chemistry Lab,1,PHYS-110,4
biomedical,IE-255,Engineering Economy,3,,4
biomedical,EE-250,Basic Electrical Circuits,4,PHYS-202,5
biomedical,EE-202,Object-Oriented Computer Programming,3,EE-201,5
biomedical,MATH-204,Differential Equations,3,MATH-207,5
biomedical,ISLS-201,Islamic Culture 2,2,ISLS-101,5
biomedical,ARAB-201,Arabic Language 2,3,ARAB-101,5
biomedical,EE-300,Complex Analysis,3,EE-250 MATH-207,6
biomedical,BIO-321,Biology for Biomedecal Engineering,3,,6
biomedical,EE-306,Electrical Engineering Technologies,3, EE-250 ,6
biomedical,EE-301,Electrical Circuits & Systems,3,"EE-250, MATH-204",6
biomedical,IE-202,Engineering Design 2,2,"IE-200, IE-201",6
biomedical,EE-374,Experimental & Data Analysis,3,"BIO-321, STAT-110",7
biomedical,EE-372,Physiology,3,BIO-321,7
biomedical,EE-302,Electromagnetic Fields,3,"EE-250, MATH-207",7
biomedical,EE-311,Electronics 1,4,EE-250,7
biomedical,EE-360,Digital Design 1,4,EE-250,7
biomedical,EE-370,Biomedical Primer,4,"EE-306, BIO-321",8
biomedical,EE-321,Introduction to Communications,4,EE-301,8
biomedical,EE-312,Electronics 2,4,EE-311,8
biomedical,EE-366,Microprocessor & Microcontrollers,3,"EE-202, EE-360",8
biomedical,IE-256,Engineering Management,2,IE-255,8
biomedical,EE-390,Summer Training,2,Approval of Department,11
biomedical,EE-474,"Safety, Reliability & Maintenance",4,EE-370,9
biomedical,EE-472,Imaging Systems,3,"EE-302, EE-370",9
biomedical,ISLS-301,Islamic Culture 3,2,ISLS-201,9
biomedical,EE-XXX,Elective I,3,,9
biomedical,EE-XXX,Elective II,3,,9
biomedical,EE-471,Instrumentation,3,"EE-372, EE-312, EE-370",10
biomedical,EE-470,Signals & Systems,4,"EE-370, EE-301",10
biomedical,ISLS-401,Islamic Culture 4,2,ISLS-301,10
biomedical,EE-XXX,Elective III,3,,10
electronics,MATH-110,General Mathimatics 1,3,,1
electronics,CPIT-110,Programming and Problem Solving,3,,1
electronics,ELIS-111,English Language 1,0,,1
electronics,PHYS-110,General Physics 1,3,,1
electronics,STAT-110,General Statistics 1,3,,1
electronics,ELIS-112,English Language 2,2,,2
electronics,BIO-110,General Biology 1,3,,2
electronics,CHEM-110,General Chemistry 1,3,,2
electronics,ELIS-113,English Language 3,2,,2
electronics,EE-201,Structured Computer Programming,2,,2
electronics,MATH-206,Calculus II for Engineers,4,MATH-110,3
electronics,IE-200,Technical Communication Skills,2,,3
electronics,ISLS-101,Islamic Culture 1,2,,3
electronics,MENG-102,Engineering Graphics,3,,3
electronics,MATH-207,Calculus III for Engineers,4,MATH-206,3
electronics,PHYS-281,General Physics Lab,1,PHYS-110,3
electronics,IE-201,Engineering Design I,3,,4
electronics,IE-255,Engineering Economy,3,,4
electronics,ARAB-101,Arabic Language 1,3,,4
electronics,PHYS-202,General Physics II,4,"MATH-110, PHYS-110",4
electronics,CHEM-281,General Chemistry Lab,1,CHEM-110,4
electronics,EE-250,Basic Electrical Circuits,4,PHYS-202,4
electronics,IE-202,Engineering Design 2,3,"IE-200, IE-201",5
electronics,ARAB-201,Arabic Language 2,3,ARAB-101,5
electronics,MATH-204,Differential Equations I,3,MATH-207,5
electronics,EE-202,Object-Oriented Computer Programming,3,EE-201,5
electronics,ISLS-201,Islamic Culture 2,2,ISLS-101,5
electronics,EE-301,Electrical Circuits and Systems,3,"MATH-204, EE-250",6
electronics,EE-351,Electrical Power Systems 1,3,EE-250,6
electronics,ISLS-301,Islamic Culture 3,3,ISLS-201,6
electronics,EE-300,Complex Analysis,3,MATH-207,6
electronics,EE-302,Electromagnetic Fields,3,"EE-250, MATH-207",6
electronics,EE-306,Electrical Engineering Technologies,3,EE-250,7
electronics,EE-360,Digital Design 1,4,EE-250,7
electronics,EE-311,Electronics 1,4,EE-250,7
electronics,EE-321,Introduction to Communications,4,EE-301,7
electronics,EE-312,Electronics 2,4,EE-311,7
electronics,EE-366,Microprocessor and Microcontrollers,3,"EE-202, EE-360",8
electronics,EE-331,Principles of Automatic Control,4,"EE-300, EE-301",8
electronics,IE-331,Probabilityy and Engineering Statistics,3,"MATH-207, STAT-110",8
electronics,IE-256,Engineering Management,2,"IE-201, IE-255",8
electronics,EE-332,Numerical Methods in Engineering,3,"EE-201, MATH-204",8
electronics,EE-XXX,Elective I,3,Approval of Department,8
electronics,EE-423,Electromagnatic Waves,3,"EE-302, MATH-204",11
electronics,EE-421,Communication Theory 1,3,"EE-321, IE-331",9
electronics,EE-499,Senior Project,4,Approval of Department,9
electronics,EE-413,Communication Circuits,4,"EE-312, EE-321",9
electronics,ISLS-401,Islamic Culture 4,2,ISLS-301,9
electronics,IE-301,Workforce Skills,3,,9
electronics,EE-XXX,Elective II,3,Approval of Department,10
electronics,EE-425,Communication Systems,4,"EE-421, EE-423",10
electronics,EE-XXX,Elective III,3,Approval of Department,10
electronics,EE-XXX,Free course,2,,10
